match_id,match_size,mutual_match,countyid_1,County_name_1,State_1,total_workers2022_1,countyid_2,County_name_2,State_2,total_workers2022_2,countyid_3,County_name_3,State_3,total_workers2022_3,RUCC_2013,Economic_Type_Label,Low_Education_2015_Update,max_labor_force_gap,match_tier
1227,3,True,46109,Roberts County,SD,4887.460020929575,40005,Atoka County,OK,5769.376167312264,51077,Grayson County,VA,6208.7934090569615,9,Farming,0,1321.3333881273866,rucc_econtype_lowed
1228,2,True,28001,Adams County,MS,10446.22124324739,29127,Marion County,MO,12096.185392126441,,,,,5,Nonspecialized,0,1649.9641488790512,rucc_econtype_lowed
1229,2,True,46029,Codington County,SD,13476.776777267456,51185,Tazewell County,VA,13622.132128804922,,,,,5,Nonspecialized,0,145.35535153746605,rucc_econtype_lowed
1230,2,True,13299,Ware County,GA,14050.44678902626,48049,Brown County,TX,15509.813961789012,,,,,5,Nonspecialized,0,1459.3671727627516,rucc_econtype_lowed
1231,2,True,31111,Lincoln County,NE,15835.02895116806,31157,Scotts Bluff County,NE,16184.502014577389,,,,,5,Nonspecialized,0,349.47306340932846,rucc_econtype_lowed
1232,2,True,29023,Butler County,MO,16705.938549757004,13277,Tift County,GA,16787.117448985577,,,,,5,Nonspecialized,0,81.17889922857285,rucc_econtype_lowed
1233,2,True,19187,Webster County,IA,17121.165669322014,31119,Madison County,NE,17245.497413158417,,,,,5,Nonspecialized,0,124.3317438364029,rucc_econtype_lowed
1234,2,True,46013,Brown County,SD,18219.18955862522,37153,Richmond County,NC,18224.162999459237,,,,,5,Nonspecialized,0,4.973440834015491,rucc_econtype_lowed
1235,2,True,21107,Hopkins County,KY,18273.73714174144,40071,Kay County,OK,19465.783079594374,,,,,5,Nonspecialized,0,1192.045937852934,rucc_econtype_lowed
1236,2,True,19033,Cerro Gordo County,IA,20290.638503432274,35009,Curry County,NM,20640.985563099384,,,,,5,Nonspecialized,0,350.34705966711044,rucc_econtype_lowed
1237,2,True,28105,Oktibbeha County,MS,22012.099168360233,21125,Laurel County,KY,23721.989947123562,,,,,5,Nonspecialized,0,1709.8907787633289,rucc_econtype_lowed
1238,2,True,21199,Pulaski County,KY,24551.039398938738,41011,Coos County,OR,24789.651158481836,,,,,5,Nonspecialized,0,238.61175954309874,rucc_econtype_lowed
1239,2,True,28087,Lowndes County,MS,25025.615885972977,20169,Saline County,KS,25103.974799752235,,,,,5,Nonspecialized,0,78.35891377925873,rucc_econtype_lowed
1240,2,True,5115,Pope County,AR,26500.431218970858,41035,Klamath County,OR,26629.707539523006,,,,,5,Nonspecialized,0,129.2763205521478,rucc_econtype_lowed
1241,2,True,40047,Garfield County,OK,27997.679582472105,53009,Clallam County,WA,28193.54519200325,,,,,5,Nonspecialized,0,195.8656095311453,rucc_econtype_lowed
1242,2,True,48347,Nacogdoches County,TX,28359.980578359333,21145,McCracken County,KY,28925.961376190186,,,,,5,Nonspecialized,0,565.9807978308527,rucc_econtype_lowed
1243,2,True,18177,Wayne County,IN,29611.170155882835,28075,Lauderdale County,MS,29743.30036622286,,,,,5,Nonspecialized,0,132.13021034002304,rucc_econtype_lowed
1244,2,True,17001,Adams County,IL,30055.836674769,38101,Ward County,ND,34441.049259871244,,,,,5,Nonspecialized,0,4385.212585102243,rucc_econtype_lowed
1245,3,True,48005,Angelina County,TX,37899.55993056297,16083,Twin Falls County,ID,41254.89011603594,6023,Humboldt County,CA,61905.0,5,Nonspecialized,0,24005.440069437027,rucc_econtype_lowed
1246,2,True,48033,Borden County,TX,251.24469970539212,30103,Treasure County,MT,352.1159994644113,,,,,8,Farming,0,100.87129975901917,rucc_econtype_lowed
1247,2,True,48173,Glasscock County,TX,444.44679911155254,46055,Haakon County,SD,706.8744005337358,,,,,8,Farming,0,262.4276014221832,rucc_econtype_lowed
1248,2,True,48125,Dickens County,TX,734.7158018713817,30045,Judith Basin County,MT,896.8585984893143,,,,,8,Farming,0,162.14279661793262,rucc_econtype_lowed
1249,2,True,46137,Ziebach County,SD,912.0959972515702,38091,Steele County,ND,923.7497980967164,,,,,8,Farming,0,11.65380084514618,rucc_econtype_lowed
1250,2,True,31077,Greeley County,NE,1023.8948061279953,46071,Jackson County,SD,1060.311600714922,,,,,8,Farming,0,36.4167945869267,rucc_econtype_lowed
1251,2,True,46097,Miner County,SD,1110.6792042870075,38037,Grant County,ND,1116.9938997337595,,,,,8,Farming,0,6.314695446752012,rucc_econtype_lowed
1252,2,True,20049,Elk County,KS,1141.1207975260913,38043,Kidder County,ND,1167.6597968116403,,,,,8,Farming,0,26.538999285548925,rucc_econtype_lowed
1253,2,True,31163,Sherman County,NE,1384.5868976575803,48129,Donley County,TX,1399.5012017525733,,,,,8,Farming,0,14.914304094992985,rucc_econtype_lowed
1254,2,True,38063,Nelson County,ND,1404.3376037999988,46105,Perkins County,SD,1406.8368064705282,,,,,8,Farming,0,2.4992026705294847,rucc_econtype_lowed
1255,2,True,16061,Lewis County,ID,1460.032005675137,48151,Fisher County,TX,1493.9940427541733,,,,,8,Farming,0,33.962037079036236,rucc_econtype_lowed
1256,2,True,38029,Emmons County,ND,1609.345295947045,31125,Nance County,NE,1639.4421072416008,,,,,8,Farming,0,30.096811294555664,rucc_econtype_lowed
1257,2,True,46061,Hanson County,SD,1675.7615968100727,29087,Holt County,MO,1790.6919068470597,,,,,8,Farming,0,114.93031003698707,rucc_econtype_lowed
1258,2,True,27125,Red Lake County,MN,1918.7514079306275,16071,Oneida County,ID,2036.537104871124,,,,,8,Farming,0,117.78569694049656,rucc_econtype_lowed
1259,2,True,40067,Jefferson County,OK,2159.294688016176,13201,Miller County,GA,2227.238407533616,,,,,8,Farming,0,67.9437195174396,rucc_econtype_lowed
1260,2,True,48119,Delta County,TX,2238.29280314222,20127,Morris County,KS,2472.8163008391857,,,,,8,Farming,0,234.52349769696593,rucc_econtype_lowed
1261,2,True,54071,Pendleton County,WV,2576.6513983495533,31059,Fillmore County,NE,2593.546785686165,,,,,8,Farming,0,16.895387336611748,rucc_econtype_lowed
1262,2,True,38073,Ransom County,ND,2601.7492057830095,19009,Audubon County,IA,2604.245701654181,,,,,8,Farming,0,2.4964958711716463,rucc_econtype_lowed
1263,2,True,29075,Gentry County,MO,2611.8790514469147,30015,Chouteau County,MT,2616.6313866972923,,,,,8,Farming,0,4.752335250377655,rucc_econtype_lowed
1264,2,True,30099,Teton County,MT,2763.355166219175,31035,Clay County,NE,3039.8287909775972,,,,,8,Farming,0,276.4736247584224,rucc_econtype_lowed
1265,2,True,46101,Moody County,SD,3065.7344082072377,29057,Dade County,MO,3120.1933012641966,,,,,8,Farming,0,54.458893056958914,rucc_econtype_lowed
1266,2,True,27107,Norman County,MN,3145.009483639151,31021,Burt County,NE,3260.9668154083192,,,,,8,Farming,0,115.95733176916838,rucc_econtype_lowed
1267,2,True,31173,Thurston County,NE,3278.8842144832015,5117,Prairie County,AR,3375.2482061117116,,,,,8,Farming,0,96.36399162851012,rucc_econtype_lowed
1268,2,True,21181,Nicholas County,KY,3507.0986805557623,29061,Daviess County,MO,3573.23572473228,,,,,8,Farming,0,66.13704417651752,rucc_econtype_lowed
1269,2,True,46067,Hutchinson County,SD,3591.845629978925,29125,Maries County,MO,3618.931196436286,,,,,8,Farming,0,27.085566457360983,rucc_econtype_lowed
1270,2,True,18171,Warren County,IN,3619.007990680635,29185,St. Clair County,MO,3825.8913201242685,,,,,8,Farming,0,206.88332944363356,rucc_econtype_lowed
1271,2,True,38097,Traill County,ND,4105.188319474459,27089,Marshall County,MN,4412.0173197428085,,,,,8,Farming,0,306.8290002683498,rucc_econtype_lowed
1272,2,True,21087,Green County,KY,4487.960513059719,21171,Monroe County,KY,4649.378304168582,,,,,8,Farming,0,161.41779110886273,rucc_econtype_lowed
1273,2,True,19107,Keokuk County,IA,4650.0618666782975,38055,McLean County,ND,4809.989090945572,,,,,8,Farming,0,159.92722426727414,rucc_econtype_lowed
1274,2,True,53043,Lincoln County,WA,4934.038510121747,21011,Bath County,KY,5027.181614115834,,,,,8,Farming,0,93.14310399408714,rucc_econtype_lowed
1275,2,True,21219,Todd County,KY,5082.719323308818,27121,Pope County,MN,5221.003695581479,,,,,8,Farming,0,138.28437227266113,rucc_econtype_lowed
1276,2,True,21187,Owen County,KY,5400.543008663226,19119,Lyon County,IA,5782.880821809173,,,,,8,Farming,0,382.3378131459467,rucc_econtype_lowed
1277,2,True,19023,Butler County,IA,6633.2128778249025,27129,Renville County,MN,7164.656050335143,,,,,8,Farming,0,531.4431725102404,rucc_econtype_lowed
1278,2,True,55065,Lafayette County,WI,8121.2988959774375,21027,Breckinridge County,KY,9152.899479452979,,,,,8,Farming,0,1031.6005834755415,rucc_econtype_lowed
1279,2,True,13239,Quitman County,GA,905.0142004210502,21189,Owsley County,KY,1298.3945061825216,,,,,9,Nonspecialized,1,393.3803057614714,rucc_econtype_lowed
1280,2,True,21237,Wolfe County,KY,2125.4604980785953,21129,Lee County,KY,2376.6869018104626,,,,,9,Nonspecialized,1,251.22640373186732,rucc_econtype_lowed
1281,2,True,21057,Cumberland County,KY,2384.3870967526236,5147,Woodruff County,AR,2546.60558656021,,,,,9,Nonspecialized,1,162.2184898075866,rucc_econtype_lowed
1282,2,True,28037,Franklin County,MS,2714.2743952050805,13309,Wheeler County,GA,2753.702006135136,,,,,9,Nonspecialized,1,39.42761093005538,rucc_econtype_lowed
1283,2,True,48405,San Augustine County,TX,2962.8041088525206,22025,Catahoula Parish,LA,3158.743797172385,,,,,9,Nonspecialized,1,195.93968831986422,rucc_econtype_lowed
1284,2,True,28069,Kemper County,MS,3424.375223904848,47027,Clay County,TN,3449.673103749752,,,,,9,Nonspecialized,1,25.297879844903946,rucc_econtype_lowed
1285,2,True,21153,Magoffin County,KY,3750.314393378794,28155,Webster County,MS,4221.9072002545,,,,,9,Nonspecialized,1,471.5928068757057,rucc_econtype_lowed
1286,2,True,29181,Ripley County,MO,4234.782613232732,29223,Wayne County,MO,4350.888615220785,,,,,9,Nonspecialized,1,116.10600198805332,rucc_econtype_lowed
1287,2,True,28147,Walthall County,MS,4914.770009342901,21109,Jackson County,KY,4915.826670227223,,,,,9,Nonspecialized,1,1.0566608843219,rucc_econtype_lowed
1288,2,True,28013,Calhoun County,MS,5616.196893773973,37131,Northampton County,NC,6706.134210850731,,,,,9,Nonspecialized,1,1089.9373170767576,rucc_econtype_lowed
1289,2,True,48153,Floyd County,TX,2244.4058096446097,28119,Quitman County,MS,2408.0089983940125,,,,,6,Farming,1,163.60318874940276,rucc_econtype_lowed
1290,2,True,40141,Tillman County,OK,2838.492313578725,48437,Swisher County,TX,2994.6316208019853,,,,,6,Farming,1,156.1393072232604,rucc_econtype_lowed
1291,2,True,48069,Castro County,TX,3167.6882067099214,41049,Morrow County,OR,5406.3810347566105,,,,,6,Farming,1,2238.692828046689,rucc_econtype_lowed
1292,2,True,48279,Lamb County,TX,5419.787084288895,29229,Wright County,MO,6904.560686171055,,,,,6,Farming,1,1484.7736018821597,rucc_econtype_lowed
1293,2,True,48117,Deaf Smith County,TX,7983.176192715764,48177,Gonzales County,TX,8216.212208122015,,,,,6,Farming,1,233.03601540625095,rucc_econtype_lowed
1294,3,True,6011,Colusa County,CA,8755.732415646315,53001,Adams County,WA,9351.565508615633,6021,Glenn County,CA,11590.972527474165,6,Farming,1,2835.2401118278503,rucc_econtype_lowed
1295,2,True,48271,Kinney County,TX,1249.3600036911666,48377,Presidio County,TX,2559.6663032993674,,,,,7,Federal/State Government,1,1310.3062996082008,rucc_econtype_lowed
1296,2,True,54021,Gilmer County,WV,2599.0637735798955,48047,Brooks County,TX,2894.749002121389,,,,,7,Federal/State Government,1,295.6852285414934,rucc_econtype_lowed
1297,2,True,13141,Hancock County,GA,3381.918007403612,13167,Johnson County,GA,3540.374997422099,,,,,7,Federal/State Government,1,158.45699001848698,rucc_econtype_lowed
1298,2,True,48335,Mitchell County,TX,3657.974989950657,21025,Breathitt County,KY,4401.950293377042,,,,,7,Federal/State Government,1,743.9753034263849,rucc_econtype_lowed
1299,2,True,21051,Clay County,KY,7705.651477903128,48225,Houston County,TX,8341.456921815872,,,,,7,Federal/State Government,1,635.8054439127445,rucc_econtype_lowed
1300,3,True,6015,Del Norte County,CA,9625.819514542818,6035,Lassen County,CA,11357.082020238042,48001,Anderson County,TX,21315.57528731227,7,Federal/State Government,1,11689.755772769451,rucc_econtype_lowed
1301,2,True,18115,Ohio County,IN,2827.674202784896,8047,Gilpin County,CO,2856.1714120209217,,,,,1,Recreation,0,28.49720923602581,rucc_econtype_lowed
1302,2,True,51115,Mathews County,VA,3459.0679856538773,51157,Rappahannock County,VA,3519.860573314596,,,,,1,Recreation,0,60.79258766071871,rucc_econtype_lowed
1303,2,True,47169,Trousdale County,TN,5028.299383737147,53059,Skamania County,WA,5125.91181520489,,,,,1,Recreation,0,97.61243146774359,rucc_econtype_lowed
1304,2,True,51735,Poquoson city,VA,5663.025906689465,8093,Park County,CO,6858.628623347729,,,,,1,Recreation,0,1195.6027166582644,rucc_econtype_lowed
1305,2,True,51830,Williamsburg city,VA,7015.554018750787,18013,Brown County,IN,7183.224422052503,,,,,1,Recreation,0,167.67040330171585,rucc_econtype_lowed
1306,2,True,48019,Bandera County,TX,8838.955036878586,13085,Dawson County,GA,11306.586883273412,,,,,1,Recreation,0,2467.6318463948264,rucc_econtype_lowed
1307,2,True,36123,Yates County,NY,11412.162909701467,39073,Hocking County,OH,11857.946273818729,,,,,1,Recreation,0,445.78336411726195,rucc_econtype_lowed
1308,2,True,37053,Currituck County,NC,12850.702754050493,13227,Pickens County,GA,14509.34421304561,,,,,1,Recreation,0,1658.6414589951164,rucc_econtype_lowed
1309,2,True,18061,Harrison County,IN,18922.263943254948,24035,Queen Anne's County,MD,22690.377508431673,,,,,1,Recreation,0,3768.1135651767254,rucc_econtype_lowed
